household_id,has_labourer,hh_floors,hh_units,hh_under6yr,hh_over6yr,hh_maids,hh_under6yr_present,hh_over6yr_present,hh_tenure,hh_veh,hh_bikes,ptdist,hhincome,hhproptype,hhproptype_other,geocode,community,road,building,poi,emirate,interviewer_id,interviewer_company,interview_date,interview_time,interviewer_company_name,interviewer_company_num,home_zone_id
1012,False,40,407,1,2,0,1,2,2,1,0,1,5,3,,"25.078233,55.150970",JLT,-,-,-,1,i4019,i4,2014-04-23,20:07:00,,393,834
1013,False,2,1,0,6,0,0,6,1,9,0,3,9,1,,"25.170592,55.230224",Al safa,-,-,-,1,i4016,i4,2014-05-01,17:57:00,,353,674
1014,False,1,1,0,5,0,0,5,2,3,0,1,8,4,,"25.181136,55.236425",al wasl road,-,-,-,1,i4001,i4,2014-05-01,20:01:00,,353,667
1015,False,2,1,0,3,0,0,3,2,1,0,1,6,4,,"25.175039,55.233228",Al Safa 1,-,-,-,1,i4002,i4,2014-05-01,18:33:00,,353,671
1016,False,2,1,0,1,0,0,1,2,2,0,1,10,4,,"25.175019,55.233314",al wasl road,-,-,-,1,i4002,i4,2014-05-01,18:48:00,,353,671
1017,False,1,1,0,2,0,0,2,2,2,0,1,10,4,,"25.160609,55.221062",al safa 1,-,-,-,1,i4002,i4,2014-05-01,20:05:00,,357,684
1019,False,2,0,1,3,0,1,3,2,2,1,1,8,1,,"25.174631,55.233872",Al Safa ,6D,-,-,1,i4003,i4,2014-05-01,18:06:00,,353,671
1021,False,1,1,0,2,0,0,2,2,2,0,2,5,4,,"25.181564,55.236447",al wasl road,-,-,-,1,i4007,i4,2014-05-01,19:52:00,,353,667
1022,False,2,1,0,4,0,0,4,2,1,0,2,6,4,,"25.171349,55.231082",Safa 1,-,-,-,1,i4010,i4,2014-05-01,20:03:00,,353,671
1023,False,1,1,0,4,0,0,4,2,2,0,1,4,4,,"25.174068,55.231898",Al Safa 1,-,-,-,1,i4010,i4,2014-05-01,20:19:00,,353,671
1024,False,12,120,0,2,0,0,2,2,2,0,2,9,3,,"25.112978,55.140767",Palm Jumeirah,-,-,-,1,i4021,i4,2014-05-01,12:22:00,,381,892
1025,False,2,1,0,2,0,0,2,2,2,0,3,9,4,,"25.144430,55.210912",Al Safa 1,25,-,-,1,i4021,i4,2014-05-01,18:51:00,,363,755
1026,False,2,1,0,1,0,0,1,2,1,0,3,5,4,,"25.144624,55.210719",Al safa 1,25,-,-,1,i4021,i4,2014-05-01,19:39:00,,363,755
1028,False,36,540,1,6,0,1,6,2,2,0,2,8,3,,"25.067476,55.138428",JLT,-,-,-,1,i4016,i4,2014-05-01,13:27:00,,393,835
1029,False,2,1,0,4,0,0,4,2,4,0,2,8,1,,"25.159609,55.210408",Umm Suqueim,Jumeira Road,-,-,1,i4016,i4,2014-05-01,19:25:00,,356,635
1030,False,2,1,0,4,0,0,4,2,2,2,2,7,1,,"25.159561,55.210505",Umm Suqueim 1,Jumeira Road,-,-,1,i4016,i4,2014-05-01,19:59:00,,356,635
1031,False,2,1,0,3,0,0,3,2,3,1,2,8,1,,"25.159580,55.210483",Umm Suqeium 3,Jumeira Road,-,-,1,i4016,i4,2014-05-01,20:29:00,,356,635
1032,False,2,1,0,5,0,0,5,2,3,0,2,6,1,,"25.159425,55.210751",Umm Suqeium 1,Jumeira Road,-,-,1,i4016,i4,2014-05-01,20:54:00,,356,635
1033,False,2,1,1,3,0,1,3,2,3,1,2,7,1,,"25.160609,55.211610",Umm Suqeuim 1,-,-,-,1,i4016,i4,2014-05-01,21:11:00,,356,635
1034,False,2,1,2,4,0,2,4,2,2,0,2,7,1,,"25.160580,55.211642",Umm Suqeuim 1,-,-,-,1,i4016,i4,2014-05-01,21:28:00,,356,635
